	D3_A03	D3_B01	D3_B02	D3_C02	D3_D02	D3_E01	D3_E03	D3_F01	D3_G01	D3_G03	D3_H02	D3_A06	D3_B04	D3_B06	D3_D04	D3_D05	D3_D06	D3_E04	D3_F04	D3_F06	D3_G04	D3_G05	D3_G06	D3_H04	D3_H05	D3_H06	D3_A07	D3_A09	D3_B07	D3_B09	D3_C07	D3_C09	D3_D07	D3_D08	D3_E09	D3_F07	D3_F09	D3_G07	D3_H08	D3_A10	D3_A11	D3_A12	D3_C10	D3_C11	D3_C12	D3_D12	D3_E10	D3_E12	D3_F10	D3_F11	D3_G12	D3_H10	D3_H11	UD_A02	UD_A03	UD_B01	UD_B02	UD_B03	UD_C01	UD_C02	UD_C03	UD_D01	UD_D02	UD_D03	UD_E01	UD_E02	UD_E03	UD_F01	UD_F02	UD_F03	UD_G02	UD_G03	UD_H02	UD_H03	UD_A04	UD_A05	UD_A06	UD_B04	UD_B05	UD_B06	UD_C04	UD_C05	UD_C06	UD_D04	UD_D05	UD_D06	UD_E04	UD_E05	UD_E06	UD_F04	UD_F05	UD_F06	UD_G04	UD_G05	UD_G06	UD_H04	UD_H05	UD_H06	UD_A07	UD_A08	UD_B07	UD_B08	UD_C07	UD_C08	UD_D07	UD_D08	UD_E07	UD_E08	UD_F07	UD_F08	UD_G07	UD_G08	UD_H07	UD_H08	UD_A10	UD_A11	UD_A12	UD_B10	UD_B11	UD_B12	UD_C10	UD_C11	UD_C12	UD_D10	UD_D11	UD_D12	UD_E10	UD_E11	UD_E12	UD_F10	UD_F11	UD_F12	UD_G10	UD_G11	UD_G12	UD_H10	UD_H11
PC1	0.06516000839561643	0.058485371258172825	0.06492781456349453	0.05314438280963663	0.036812920166108216	0.06023012238096727	0.06776789367984072	0.04169719180608396	0.04916691918769928	0.053283576205471146	0.0284381383128631	0.053351792983563864	0.055713073602852034	0.023295737862302376	0.051535894509178344	0.058914510422349624	0.052889269429787854	0.06447109907435226	0.06204647239608011	0.06008030901602762	0.05000205010514627	0.04934989346161662	0.04891167446358163	0.05464467312491618	0.04725712555286594	0.06344266328158275	0.061165931115226994	0.057559138749614235	0.06070931004315167	0.06594873148150353	0.06211492097409195	0.052243884443754655	0.05481870588688262	0.07135960439860518	0.05851144733564552	0.032395434234138015	0.0596376321074573	0.06552226792355485	0.07134420042040124	0.048144955298744185	0.05042628443740683	0.07980551392771872	0.0427492502389769	0.03316156311366798	0.04605680346639088	0.04687687904501589	0.04441658760573911	0.05339193367035633	0.04584902026868219	0.053846809235766596	0.053963381658907406	0.05189580580270617	0.058417666446859105	0.0816269340813522	0.09093867541864661	0.11129503602451961	0.09019254481386146	0.11185883400216914	0.09310113197585636	0.1067617329985937	0.08924743221270084	0.07426277383375256	0.09486146534918183	0.10547361218341027	0.08917379678418678	0.10785366790541183	0.07653876030768306	0.10068308593926241	0.10360847343145924	0.10854234104067419	0.08227179800444279	0.10490151125699987	0.10399195425421076	0.09596001460404845	0.11218346791004274	0.10258719268187931	0.11700920461053145	0.10626376978801638	0.11374357437588795	0.11277549189646571	0.11305544874776483	0.10437276589052573	0.07484433268775881	0.10559235130886875	0.11029781751575742	0.10943009535660132	0.10863495788470404	0.1025135880262414	0.0838863581764394	0.08960315187631686	0.10886849026056072	0.09168136083624977	0.1016672732203377	0.09169438432503514	0.08681210746885794	0.09526213728357237	0.08183788073561628	0.10678478456016477	0.10218209018987574	0.10413411519504978	0.09649214790313407	0.11696932395820868	0.10519863376931311	0.11465589128066911	0.08909941908973278	0.10021020662001251	0.1076549906674016	0.08575193865596306	0.0882963744988615	0.10682425965859166	0.08785155482349606	0.10256617638358322	0.09898389940589292	0.1026145920209749	0.10888861690204812	0.08991729484364891	0.10064928092675197	0.09820554999888216	0.10033631227051376	0.075546271455469	0.10930551757518048	0.07492212412728294	0.10803162494171148	0.09497743137025244	0.10878713320040562	0.10136063571642943	0.10218201276534852	0.11503465381519991	0.11003103352571614	0.1124160102788669	0.1136745868617904	0.09007641875184516	0.0900769410870466	0.09610461319923234	0.0854827184928759	0.07516663726535036	0.11861866784301921
PC2	0.12589257155233913	0.13604196389009154	0.1250657595566879	0.1328168171462083	0.09902329714132177	0.13762197860046488	0.1372988924704698	0.11229833713438818	0.12028416116720661	0.13735844044506476	0.059240876141269425	0.12747883200634144	0.12976293389813248	0.07304369389385391	0.12434812854839312	0.1208940999494324	0.1303350510912613	0.13774431014481847	0.1259515431309271	0.14015614120736103	0.12976861946385965	0.11913522689189353	0.12360978525460209	0.1329641947275099	0.11107700547017456	0.12149740077026959	0.13033283244105834	0.12613669069764097	0.13419898963326776	0.13170114855754844	0.13860241791874037	0.13608973496764512	0.12423094768735217	0.13955489080985395	0.13263298880109087	0.08698316920987154	0.13351636229073224	0.13748835396552328	0.1301131271067452	0.12658991059762956	0.12029319910342971	0.1074282857446659	0.1151935670378392	0.09796458033129286	0.12339882954781206	0.12063490248219179	0.1267731348481921	0.12340336334928186	0.12737021657103098	0.13046758836521147	0.12522052933001668	0.12591887671106705	0.12880984799736536	-0.05433147165207905	-0.05899978348967478	-0.02474326660433244	-0.04815730620838441	-0.03148277921769316	-0.03414682759726462	-0.03792371216631744	-0.05080358120667916	-0.05848968251393574	-0.048145991488235874	-0.0341920227933574	-0.05252247142244782	-0.03242273387736318	-0.05792608796663595	-0.02931183318844096	-0.032388194146379494	-0.033762346154001255	-0.0633976421882725	-0.035736147119746015	-0.03819723245641106	-0.05066890375228927	-0.0385273771376882	-0.033751263412878936	-0.03317650790825191	-0.0386642013484878	-0.031808431453735804	-0.037497330899885994	-0.036329938592383836	-0.03447578017699097	-0.06766008382082529	-0.026411525209865703	-0.03797632321759408	-0.05101455127866185	-0.03002823606794451	-0.04411428164874723	-0.055831393692028206	-0.06228417759443823	-0.02924736099446199	-0.066984677081295	-0.03612107967239636	-0.04253252241917308	-0.06370365274197835	-0.04018526627001584	-0.0655467282963806	-0.04107326741386182	-0.031717717015339465	-0.04707354763708417	-0.05678665702300419	-0.042726224049069166	-0.038546745544616054	-0.028637065243216478	-0.05285943093619213	-0.05982737978383597	-0.028256028984480853	-0.06564673184639506	-0.0638840043025512	-0.04322755289496204	-0.06478430932421836	-0.04569385020315792	-0.03954765508912081	-0.040210960376854545	-0.03432998241142826	-0.046417942231408396	-0.04762439374559096	-0.03186318376353651	-0.03680593964873151	-0.06613161941563891	-0.032980798024556876	-0.06467138242262616	-0.035438889534819565	-0.04768963879220444	-0.043115419476509306	-0.03283722406115834	-0.02419122962077391	-0.03698724937138657	-0.03705745086028204	-0.039928815167158786	-0.030077684072011553	-0.05520255968101097	-0.061814042075467625	-0.05104239879536891	-0.06001222289393051	-0.06454141141810965	-0.033952143639043066
PC3	0.00034937364172982335	0.004351056654874659	0.027650709847715643	-0.03127020076662483	-0.07978204280021838	-0.022605227230984137	0.006424208440740326	-0.043214713019026664	-0.015137862652198316	-0.03383463980681273	-0.03406678860462747	-0.03566034799343195	-0.0293767003623025	-0.025197672541937825	-0.009458565396408736	0.0022987156927679834	-0.02771827596044389	0.004819398600434504	-0.020293357900417554	-0.03303448367620807	-0.047039166521684446	-0.039578654272268934	-0.02000084938167366	0.0004522263966149341	-0.0297842040519847	0.003631628333886061	0.027902464818678252	-0.03071913184824134	-0.05099532447802999	-0.0034959575259082415	-0.0076557342919731704	-0.025313820128172883	-0.031785148329218256	0.030482253525298347	0.017294105272390496	-0.04793812812963386	-0.047461673828596805	-0.019179786961463986	0.02297060513124656	-0.035895143566244916	-0.0001881110768606262	0.07647087025338092	-0.04426441570142689	-0.06390851556007374	-0.05876373485405463	-0.06303259718721842	-0.03532909918226754	0.013268498977498993	-0.05725340603612854	-0.021417732230724025	-0.022379468314929117	-0.04816404915457719	0.010276425245298438	-0.1804727047886763	-0.13042949840300447	0.10749884189053881	-0.05805443041906332	0.07369079170610335	0.10906971381066635	0.08265978798010414	-0.06129029277013981	-0.15836302774615238	-0.06145483034548832	0.11547220776939034	-0.08319091582423682	0.05412677216212928	-0.1868360754745312	0.1060792768091864	0.10228927205216895	0.07057320805344271	-0.16653969334009355	0.06822486147469926	0.08002605428090295	-0.06797456101063443	0.03909582483117867	0.07422449871517015	0.08129267304748693	0.03911725960944503	0.10479874904351225	0.049634496774487426	0.05241407438719053	0.06990694596694833	-0.21466303407541865	0.10667162104525471	0.05835855546077532	-0.050336709913339855	0.11993270980747113	0.03157779002701561	-0.17622670494835443	-0.1434033612035416	0.10938843020208547	-0.12226826434263581	0.02160680080473892	0.009586902847524389	-0.16886045416747245	0.040616997054096896	-0.16049307593501416	0.06639677627590126	0.05102549739498824	-0.0332335823936853	-0.09990270536331869	0.024744241243586918	0.044901142265312055	0.1408099491767492	-0.09166739964609533	-0.11919358066798447	0.14496285019211672	-0.19077917678130635	-0.16574358912188283	0.03915012692913872	-0.1516194160720738	0.029805776133309432	0.06762013007481638	0.07039702956101877	0.10551388162488541	-0.031518465238288294	-0.018542040518706737	0.08865547367895045	0.09413041084694243	-0.19590310974504638	0.11353722477549447	-0.16965149208367442	0.05604836229258653	-0.037921575708355186	0.02671461611915747	0.03913419430287907	0.11885335311622093	0.055919692329249086	0.07971921457558946	0.037413479898847496	0.13525830589161367	-0.11547451207688042	-0.10715323211524395	-0.06073512392102816	-0.16252311787460308	-0.17464602497868062	0.08922547657983079
PC4	0.18171098097101693	0.06113611422959612	0.13763694280801664	-0.03358446885099848	-0.24134321278501913	0.0787290789658006	0.19085639479468308	-0.19497892974904685	-0.008433391436270457	-0.012988304827990342	-0.2332141558065527	0.028446241266601734	-0.010257140379664817	-0.21327780958915413	-0.010731201353732261	0.08103606443066193	-0.08126554429393464	0.1532638649248331	0.10320202343008093	0.05638333290648692	-0.10616700393691286	-0.1456267373294562	-0.09134642546089027	0.10518111531178904	-0.07586264455441034	0.08075096745641475	0.17832654959493507	-0.08588176176926383	0.00667168274261281	0.1564679614400787	0.09201379528508771	-0.0465152862158536	-0.05994979921946545	0.18012841817929642	0.08258337577639759	-0.25227264154422424	-0.08597909643830574	0.0522090400225959	0.21705773043684748	-0.10883403233929712	-0.047518048410178745	0.2586757931399626	-0.17157774510869203	-0.22217011438613016	-0.11822123281418104	-0.1823450347817576	-0.03512020290334049	0.057510245541526284	-0.1712452672143551	0.07484996756598743	-0.011364431255151724	-0.09782841709770633	0.09618468167009737	0.012922496340712875	0.01718484642114122	-0.017896812677398982	-0.009144385222801378	-0.010606450725239129	-0.051234531731542236	0.01835953017367303	-0.018992341868548496	-0.0006183495922741725	0.016345055459508557	-0.05747027576692087	0.045775524685244554	-0.033377542039217376	0.023109121163923226	-0.09974841719520294	-0.04570069336274438	-0.04354088455210909	0.039654696716368155	0.007013393903980627	0.01110034156467089	0.060848807127228594	0.006611295765754699	-0.03593784812422284	-0.0072602239851505485	0.003621843964591812	-0.025910132105835017	-0.029880598016494488	-0.01160002706444031	-0.021497788949136905	-0.005432606461788562	-0.024729087515652774	-0.012215352728503739	-0.0068474452517694375	-0.010404259866315829	-0.0064378964297168795	0.006285582285822159	0.04250921883950166	-0.056649094626876464	-0.001283169578198253	-0.010712965894995149	0.0036569271239056044	-0.016100773688545	0.01023273034663356	0.03962972283738906	-0.013596990642392004	-0.013508089162108813	-0.024026325880892214	0.029152079292798182	-0.015304626979383317	-0.013133028068170866	-0.06749674364026026	0.022785738984596612	0.027967420594291775	-0.01891503222682334	0.026656931779404112	0.06301129309001034	-0.06076224111414068	0.06340699008648568	0.03255030554175513	0.008139080460886025	-0.04741260921573712	-0.0038849753247718953	-0.008791607469201549	0.04127960996276466	-0.04227390772350485	-0.0027290863008429017	-0.009454660075720697	-0.016068155085569028	0.03118418171960367	-0.0032117441554222847	0.030158422336253498	-0.014483919820954129	-0.02320523609776688	-0.022559527985404976	0.006308312444428271	0.0114555594643048	-0.034736733323231746	-0.042734837941932356	0.03282508144114792	0.05608412956040097	0.03472455677380361	0.03587511260090825	-0.007328808065713812	-0.032387876435461996
PC5	0.011285354368824498	0.0706082582393434	0.059453571386152336	0.02431529362247967	0.0018369994436158144	-0.058978503307082854	-0.006236964254664472	0.0402598109478552	0.11420171635577323	-0.05454664949273992	0.02916843854421355	0.002566256974791954	-0.02341347732990406	0.09449860355448443	0.03422255106369959	0.051919556718613154	0.030107755763406782	-0.04221410910975757	-0.004138637090035369	-0.008582317010454352	-0.052156148270133124	0.029628761703864585	0.041444788864170724	-0.0035499211627881156	0.14356777086714834	-0.0601357950400285	0.015237283245481395	-0.09527454009783337	-0.08834005192578823	-0.01450844488508155	-0.032785608116826175	-0.0212838436022769	0.10265371980709118	-0.03609355532479574	0.04149145725353158	0.03840135771652626	-0.10187347483635421	-0.03916760192797531	-0.050620347777029555	-0.03886007058667447	0.06252167940778562	-0.08921762625288829	-0.02691857636934085	-0.024775312452789463	0.00013412804315498605	-0.00888211201894529	0.04765231853082862	0.022254043768003492	0.05864852991491656	0.0198490533269763	-0.06018673648155065	-0.07969396849833396	0.02635500619204939	-0.09665787469116321	-0.016525422337321672	-0.05565770832641193	0.05400105320790135	-0.014312278879798065	-0.23396879695989029	0.03080645295696829	0.10514985808558291	-0.09905253647305429	0.14385264386648253	-0.10543206539911058	0.07319468399193575	-0.046426240590002325	-0.0777674925115001	-0.14484444219627357	0.016663325603827786	-0.014600326488315928	0.06516486566652176	-0.004418635456626271	-0.013045003958537273	0.04554409257668643	0.1857363072514747	-0.00782262480416388	0.0525419194409304	0.08114261486930172	-0.10151413726151522	0.042365639662431905	0.050488070519209366	0.0829090443795325	-0.16306947460753635	-0.05565052685707219	0.009269364083348487	0.11865447353350272	-0.0815577204847544	-0.028314634600304856	-0.21058121458456103	-0.022760159579684712	-0.07929638632049806	0.057462210883432424	0.15236454839635463	0.13931779693259333	-0.03683065859641512	-0.0499208736315853	-0.0837166923099332	0.024731667160350117	0.013663878412991319	0.14026627204605843	5.6869538504346374e-05	0.04706238785600254	0.0402050523998229	-0.12580884505688458	0.22574257932550734	0.055316720673624885	-0.08657708438572898	-0.1119820285541142	0.08297670554183724	0.07234328154795329	-0.04845412443253591	0.05000524325025622	0.006956806330006186	0.018914238385984113	-0.08218607520095894	0.15642441566666251	0.1914445178399196	-0.022802067370129176	-0.08433208898540918	-0.17619819899110958	-0.09278748491674917	-0.09761247979922061	0.00020434023329004425	0.2208900142762395	0.07051341073647545	-0.008680141791808019	-0.17498204070889462	0.029693947256572224	0.023458882946407855	0.04306780053239267	-0.10887117865388081	0.1272336486464136	0.028980955103185938	0.09559061937646073	-0.09961023219864192	-0.24538042314759445	0.008780686696890586
